id_comb;id_data;nome_comb;tipo_comb;custo_comb
4;1;Ipimax Gasolina Aditivada;Aditivado;4.68
6;1;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;1;Ipimax Etanol Aditivado;Aditivado;4.08
1;1;Original gasolina;Comum;3.28
2;1;Original Diesel ;Comum;3.88
3;1;Original Etanol ;Comum;3.08
7;1;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;2;Ipimax Gasolina Aditivada;Aditivado;4.68
6;2;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;2;Ipimax Etanol Aditivado;Aditivado;4.08
1;2;Original gasolina;Comum;3.28
2;2;Original Diesel ;Comum;3.88
3;2;Original Etanol ;Comum;3.08
7;2;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;3;Ipimax Gasolina Aditivada;Aditivado;4.68
6;3;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;3;Ipimax Etanol Aditivado;Aditivado;4.08
1;3;Original gasolina;Comum;3.28
2;3;Original Diesel ;Comum;3.88
3;3;Original Etanol ;Comum;3.08
7;3;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;4;Ipimax Gasolina Aditivada;Aditivado;4.68
6;4;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;4;Ipimax Etanol Aditivado;Aditivado;4.08
1;4;Original gasolina;Comum;3.28
2;4;Original Diesel ;Comum;3.88
3;4;Original Etanol ;Comum;3.08
7;4;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;5;Ipimax Gasolina Aditivada;Aditivado;4.68
6;5;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;5;Ipimax Etanol Aditivado;Aditivado;4.08
1;5;Original gasolina;Comum;3.28
2;5;Original Diesel ;Comum;3.88
3;5;Original Etanol ;Comum;3.08
7;5;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;6;Ipimax Gasolina Aditivada;Aditivado;4.68
6;6;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;6;Ipimax Etanol Aditivado;Aditivado;4.08
1;6;Original gasolina;Comum;3.28
2;6;Original Diesel ;Comum;3.88
3;6;Original Etanol ;Comum;3.08
7;6;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;7;Ipimax Gasolina Aditivada;Aditivado;4.68
6;7;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;7;Ipimax Etanol Aditivado;Aditivado;4.08
1;7;Original gasolina;Comum;3.28
2;7;Original Diesel ;Comum;3.88
3;7;Original Etanol ;Comum;3.08
7;7;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;8;Ipimax Gasolina Aditivada;Aditivado;4.68
6;8;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;8;Ipimax Etanol Aditivado;Aditivado;4.08
1;8;Original gasolina;Comum;3.28
2;8;Original Diesel ;Comum;3.88
3;8;Original Etanol ;Comum;3.08
7;8;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;9;Ipimax Gasolina Aditivada;Aditivado;4.68
6;9;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;9;Ipimax Etanol Aditivado;Aditivado;4.08
1;9;Original gasolina;Comum;3.28
2;9;Original Diesel ;Comum;3.88
3;9;Original Etanol ;Comum;3.08
7;9;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;10;Ipimax Gasolina Aditivada;Aditivado;4.68
6;10;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;10;Ipimax Etanol Aditivado;Aditivado;4.08
1;10;Original gasolina;Comum;3.28
2;10;Original Diesel ;Comum;3.88
3;10;Original Etanol ;Comum;3.08
7;10;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;11;Ipimax Gasolina Aditivada;Aditivado;4.68
6;11;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;11;Ipimax Etanol Aditivado;Aditivado;4.08
1;11;Original gasolina;Comum;3.28
2;11;Original Diesel ;Comum;3.88
3;11;Original Etanol ;Comum;3.08
7;11;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;12;Ipimax Gasolina Aditivada;Aditivado;4.68
6;12;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;12;Ipimax Etanol Aditivado;Aditivado;4.08
1;12;Original gasolina;Comum;3.28
2;12;Original Diesel ;Comum;3.88
3;12;Original Etanol ;Comum;3.08
7;12;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;13;Ipimax Gasolina Aditivada;Aditivado;4.68
6;13;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;13;Ipimax Etanol Aditivado;Aditivado;4.08
1;13;Original gasolina;Comum;3.28
2;13;Original Diesel ;Comum;3.88
3;13;Original Etanol ;Comum;3.08
7;13;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;14;Ipimax Gasolina Aditivada;Aditivado;4.68
6;14;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;14;Ipimax Etanol Aditivado;Aditivado;4.08
1;14;Original gasolina;Comum;3.28
2;14;Original Diesel ;Comum;3.88
3;14;Original Etanol ;Comum;3.08
7;14;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;15;Ipimax Gasolina Aditivada;Aditivado;4.68
6;15;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;15;Ipimax Etanol Aditivado;Aditivado;4.08
1;15;Original gasolina;Comum;3.28
2;15;Original Diesel ;Comum;3.88
3;15;Original Etanol ;Comum;3.08
7;15;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;16;Ipimax Gasolina Aditivada;Aditivado;4.68
6;16;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;16;Ipimax Etanol Aditivado;Aditivado;4.08
1;16;Original gasolina;Comum;3.28
2;16;Original Diesel ;Comum;3.88
3;16;Original Etanol ;Comum;3.08
7;16;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;17;Ipimax Gasolina Aditivada;Aditivado;4.68
6;17;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;17;Ipimax Etanol Aditivado;Aditivado;4.08
1;17;Original gasolina;Comum;3.28
2;17;Original Diesel ;Comum;3.88
3;17;Original Etanol ;Comum;3.08
7;17;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;18;Ipimax Gasolina Aditivada;Aditivado;4.68
6;18;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;18;Ipimax Etanol Aditivado;Aditivado;4.08
1;18;Original gasolina;Comum;3.28
2;18;Original Diesel ;Comum;3.88
3;18;Original Etanol ;Comum;3.08
7;18;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;19;Ipimax Gasolina Aditivada;Aditivado;4.68
6;19;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;19;Ipimax Etanol Aditivado;Aditivado;4.08
1;19;Original gasolina;Comum;3.28
2;19;Original Diesel ;Comum;3.88
3;19;Original Etanol ;Comum;3.08
7;19;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;20;Ipimax Gasolina Aditivada;Aditivado;4.68
6;20;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;20;Ipimax Etanol Aditivado;Aditivado;4.08
1;20;Original gasolina;Comum;3.28
2;20;Original Diesel ;Comum;3.88
3;20;Original Etanol ;Comum;3.08
7;20;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;21;Ipimax Gasolina Aditivada;Aditivado;4.68
6;21;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;21;Ipimax Etanol Aditivado;Aditivado;4.08
1;21;Original gasolina;Comum;3.28
2;21;Original Diesel ;Comum;3.88
3;21;Original Etanol ;Comum;3.08
7;21;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;22;Ipimax Gasolina Aditivada;Aditivado;4.68
6;22;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;22;Ipimax Etanol Aditivado;Aditivado;4.08
1;22;Original gasolina;Comum;3.28
2;22;Original Diesel ;Comum;3.88
3;22;Original Etanol ;Comum;3.08
7;22;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;23;Ipimax Gasolina Aditivada;Aditivado;4.68
6;23;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;23;Ipimax Etanol Aditivado;Aditivado;4.08
1;23;Original gasolina;Comum;3.28
2;23;Original Diesel ;Comum;3.88
3;23;Original Etanol ;Comum;3.08
7;23;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;24;Ipimax Gasolina Aditivada;Aditivado;4.68
6;24;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;24;Ipimax Etanol Aditivado;Aditivado;4.08
1;24;Original gasolina;Comum;3.28
2;24;Original Diesel ;Comum;3.88
3;24;Original Etanol ;Comum;3.08
7;24;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;25;Ipimax Gasolina Aditivada;Aditivado;4.68
6;25;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;25;Ipimax Etanol Aditivado;Aditivado;4.08
1;25;Original gasolina;Comum;3.28
2;25;Original Diesel ;Comum;3.88
3;25;Original Etanol ;Comum;3.08
7;25;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;26;Ipimax Gasolina Aditivada;Aditivado;4.68
6;26;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;26;Ipimax Etanol Aditivado;Aditivado;4.08
1;26;Original gasolina;Comum;3.28
2;26;Original Diesel ;Comum;3.88
3;26;Original Etanol ;Comum;3.08
7;26;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;27;Ipimax Gasolina Aditivada;Aditivado;4.68
6;27;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;27;Ipimax Etanol Aditivado;Aditivado;4.08
1;27;Original gasolina;Comum;3.28
2;27;Original Diesel ;Comum;3.88
3;27;Original Etanol ;Comum;3.08
7;27;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;28;Ipimax Gasolina Aditivada;Aditivado;4.68
6;28;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;28;Ipimax Etanol Aditivado;Aditivado;4.08
1;28;Original gasolina;Comum;3.28
2;28;Original Diesel ;Comum;3.88
3;28;Original Etanol ;Comum;3.08
7;28;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;29;Ipimax Gasolina Aditivada;Aditivado;4.68
6;29;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;29;Ipimax Etanol Aditivado;Aditivado;4.08
1;29;Original gasolina;Comum;3.28
2;29;Original Diesel ;Comum;3.88
3;29;Original Etanol ;Comum;3.08
7;29;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;30;Ipimax Gasolina Aditivada;Aditivado;4.68
6;30;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;30;Ipimax Etanol Aditivado;Aditivado;4.08
1;30;Original gasolina;Comum;3.28
2;30;Original Diesel ;Comum;3.88
3;30;Original Etanol ;Comum;3.08
7;30;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;31;Ipimax Gasolina Aditivada;Aditivado;4.68
6;31;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;31;Ipimax Etanol Aditivado;Aditivado;4.08
1;31;Original gasolina;Comum;3.28
2;31;Original Diesel ;Comum;3.88
3;31;Original Etanol ;Comum;3.08
7;31;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
