Razão Social;CNPJ;Endereço;BAIRRO;CEP;UF;MUNICÍPIO
POSTO GASTOTAL LTDA;00091610000148;AVENIDA GEREMARIO DANTAS,  88;JACAREPAGUÁ;22735010;RJ;RIO DE JANEIRO
G A P POSTO DE SERVICOS LTDA;00570871000140;RUA COMANDANTE RUBENS SILVA,  451;FREGUESIA (JACAREPAGUA);22745281;RJ;RIO DE JANEIRO
BOTAFOGO SERVE BEM AUTO POSTO LTDA;00608401000129;RUA BARAO DO ITAMBI,  72;BOTAFOGO;22231000;RJ;RIO DE JANEIRO
AUTO POSTO DE SERVICOS MARISOL LTDA;00712637000100;AVENIDA SERNAMBETIBA,  16500;RECREIO DOS BANDEIR;22795000;RJ;RIO DE JANEIRO
POSTO DE ABASTECIMENTO E SERVICOS V. MARQUES LTDA.;01131154000185;AVENIDA DOM HELDER CAMARA,  3124;DEL CASTILHO;20751971;RJ;RIO DE JANEIRO
CENTRO AUTOMOTIVO LAGOA BARRA LTDA;01234088000179;RUA MARIO RIBEIRO,  S/N;GÁVEA;23431000;RJ;RIO DE JANEIRO
THUYA AUTO POSTO DE SERVICOS LTDA;01264785000172;RUA ITALIA FAUSTA,  19;ITANHANGA;22641440;RJ;RIO DE JANEIRO
POSTO DE GASOLINA JOCKEY RIO LTDA;01315468000138;AVENIDA BARTOLOMEU MITRE,  1361;LEBLON;22431001;RJ;RIO DE JANEIRO
COMBUSTIVEIS LOBINHO LTDA - ME;01351380000171;RUA HADDOCK LOBO,  103;ESTACIO;20260001;RJ;RIO DE JANEIRO
BARRA 3 POSTO DE GASOLINA LTDA;01369210000114;AVENIDA DAS AMERICAS,  11505;BARRA DA TIJUCA;22793082;RJ;RIO DE JANEIRO
POSTO DE SERVIÇOS ROMÂNTICO LTDA;01679582000147;AVENIDA MARECHAL FONTENELLE,  3620;JARDIM SULACAP;22725000;RJ;RIO DE JANEIRO
CENTRO AUTOMOTIVO ANCORA LTDA;01868383000187;RUA CORONEL TEDIN,  40;JACAREPAGUA;22740011;RJ;RIO DE JANEIRO
CENTRO AUTOMOTIVO ESQUILOS LTDA;01985828000109;ESTRADA DE JACAREPAGUA,  4.735;JACAREPAGUA;22753044;RJ;RIO DE JANEIRO
AUTO POSTO CREMONEZE LTDA;01988505000179;ESTRADA DO MENDANHA,  4240;CAMPO GRANDE;23092002;RJ;RIO DE JANEIRO
AUTO POSTO SENNA LTDA;02575190000109;AVENIDA AYRTON SENNA,  S/N;BARRA DA TIJUCA;22775002;RJ;RIO DE JANEIRO
POSTO DE GASOLINA COROA DO MAR LTDA;02618774000106;ESTRADA ADHEMAR BEBIANO,  700;DEL CASTILHO;21051070;RJ;RIO DE JANEIRO
POSTO DE ABASTECIMENTO SERVICOS E COMERCIO LINHA AMARELA LTDA;02752766000158;AVENIDA AYRTON SENNA,  S/N;BARRA DA TIJUCA;22775002;RJ;RIO DE JANEIRO
AUTO CENTER GALINA LTDA;02779787000167;RUA SAO JOAO BATISTA,  73;BOTAFOGO;22270030;RJ;RIO DE JANEIRO
ABASTECIMENTO DE COMBUSTIVEIS RIO DO A LTDA;02850122000100;ESTRADA RIO DO A,  1425;CAMPO GRANDE;23080300;RJ;RIO DE JANEIRO
POSTO DE SERVICOS DENGOSO LTDA;03438999000143;ESTRADA DO MONTEIRO,  50;CAMPO GRANDE;23045830;RJ;RIO DE JANEIRO
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;03546544000222;RUA FRANCISCO EUGENIO,  349;CENTRO;20941120;RJ;RIO DE JANEIRO
AUTO POSTO TREVO DA BARRA LTDA;03573550000198;AVENIDA EMBAIXADOR ABELARDO BUENO,  3629;BARRA DA TIJUCA;22775039;RJ;RIO DE JANEIRO
MATTAR E MATTAR AUTO POSTO LTDA.;04971802000108;AVENIDA DAS AMERICAS,  10495;BARRA DA TIJUCA;22793082;RJ;RIO DE JANEIRO
TIC E TAC DE RAMOS POSTO DE SERVICOS LTDA;05026181000149;RUA URANOS,  1176;OLARIA;21060250;RJ;RIO DE JANEIRO
POSTO DE ABASTECIMENTO UBA GERAIS LTDA.;05928713000133;AVENIDA BRASIL,  34530;BANGU;21852001;RJ;RIO DE JANEIRO
POSTO DE COMBUSTIVEL MEGA ENGENHO NOVO LTDA;07343420000110;RUA SOUSA BARROS,  636;ENGENHO NOVO;20961150;RJ;RIO DE JANEIRO
MRB - COMERCIO DE PRODUTOS AUTOMOTIVOS LTDA;07499559000157;AVENIDA BRASIL,  5546;MANGUINHOS;21040361;RJ;RIO DE JANEIRO
AUTO POSTO DE ABASTECIMENTO ESTRELA DO OCEANO LTDA - ME;08638802000133;AVENIDA LUCIO COSTA,  6.410;BARRA DA TIJUCA;22620170;RJ;RIO DE JANEIRO
AUTO POSTO GALEGO DO RIO DA PRATA LTDA;09042671000190;ESTRADA DO CABUCU,  1765;CAMPO GRANDE;23017250;RJ;RIO DE JANEIRO
POSTO DE GASOLINA PEQUENA CRUZADA LTDA;09646518000171;AVENIDA EPITACIO PESSOA,  4916;LAGOA;22471003;RJ;RIO DE JANEIRO
AUTO POSTO TREVO DAS AMERICAS LTDA;10216713000140;AVENIDA DAS AMERICAS,  46673;PEDRA DE GUARATIBA;23032050;RJ;RIO DE JANEIRO
POSTO DE GASOLINA CIDADE DE DEUS LTDA;11333439000152;ESTRADA DO GABINAL,  1955;CIDADE DE DEUS;22763153;RJ;RIO DE JANEIRO
POSTO DE ABASTECIMENTO GALLENA LAGOA LTDA.;11398725000104;AVENIDA EPITACIO PESSOA,  1354;IPANEMA;22411072;RJ;RIO DE JANEIRO
BARRA GAS COMERCIO E SERVICOS LTDA;11513372000138;AVENIDA AYRTON SENNA,  9201;JACAREPAGUA;22775004;RJ;RIO DE JANEIRO
POSTO DE GASOLINA RENASCER LTDA;11534991000109;RUA SAO LUIZ GONZAGA,  2331;SAO CRISTOVAO;20910063;RJ;RIO DE JANEIRO
CENTRO AUTOMOTIVO CRUZADA DA BARRA LTDA.;12308662000102;AVENIDA DAS AMERICAS,  3201;BARRA DA TIJUCA;22631002;RJ;RIO DE JANEIRO
POSTO DE ABASTECIMENTO BARRA CAMPO GRANDE LTDA;14368087000169;ESTRADA RIO DO A,  1076;CAMPO GRANDE;23080300;RJ;RIO DE JANEIRO
MULTGAS POSTO DE GASOLINA LTDA;14618237000145;RUA FIGUEIRA DE MELO,  439;SAO CRISTOVAO;20941001;RJ;RIO DE JANEIRO
POSTO DE COMBUSTIVEIS BRAZ DE PINA LTDA;18903882000160;RUA GUAPORE,,  596;BRAZ DE PINA;21215100;RJ;RIO DE JANEIRO
LC CUGULA POSTO DE COMBUSTIVEIS LTDA;20238539000190;RUA LEOPOLDINA REGO,  604;PENHA;21021522;RJ;RIO DE JANEIRO
