id_venda,id_data,id_posto,id_func,id_comb,qtd_lts,valor_venda
35513,366,1,11354,2,714.37,3723.65
35514,366,1,11354,5,8.68,47.63
35515,366,1,11354,4,39.7,249.61
35516,366,1,11354,3,49.27,203.85
35517,366,1,11354,1,31.32,138.20
35518,366,1,11354,3,17.53,72.53
35519,366,1,11354,4,70.46,443.02
35520,366,1,11354,1,42.04,185.50
35521,366,1,11354,5,39.34,215.88
35522,366,1,11354,2,27.02,140.84
35523,366,1,11354,4,78.31,492.37
35524,366,1,11354,3,54.42,225.16
35525,366,1,11354,1,44.93,198.25
35526,366,1,11354,2,488.87,2548.23
35527,366,1,11354,6,758.4,4977.00
35528,366,1,11354,2,729.87,3804.45
35529,366,1,11354,4,28.42,178.69
35530,366,1,11354,4,18.12,113.93
35531,366,1,11354,5,85.06,466.77
35532,366,1,11354,2,690.64,3599.96
41253,367,1,11354,5,64.48,353.83
41254,367,1,11354,3,19.99,82.71
41255,367,1,11354,7,95.86,705.77
41256,367,1,11354,5,24.5,134.44
41257,367,1,11354,6,134.46,882.39
41258,367,1,11354,5,90.67,497.55
41259,367,1,11354,2,235.11,1225.51
41260,367,1,11354,4,56.68,356.38
41261,367,1,11354,6,149.23,979.32
41262,367,1,11354,5,18.71,102.67
41263,367,1,11354,4,93.21,586.06
41264,367,1,11354,2,766.03,3992.93
41265,367,1,11354,2,362.49,1889.48
41266,367,1,11354,7,54.45,400.89
41267,367,1,11354,6,949.36,6230.18
41268,367,1,11354,3,93.07,385.08
41269,367,1,11354,4,63.45,398.94
41270,367,1,11354,6,769.2,5047.88
46915,368,1,11354,2,505.09,2632.78
46916,368,1,11354,5,24.57,134.83
46917,368,1,11354,3,21.61,89.41
46918,368,1,11354,2,258.68,1348.37
46919,368,1,11354,6,702.83,4612.32
46920,368,1,11354,6,299.08,1962.71
46921,368,1,11354,7,27.02,198.93
46922,368,1,11354,6,700.37,4596.18
46923,368,1,11354,6,868.97,5702.62
46924,368,1,11354,7,33.34,245.47
46925,368,1,11354,2,627.27,3269.64
46926,368,1,11354,2,290.07,1511.99
46927,368,1,11354,1,26.4,116.49
46928,368,1,11354,3,40.15,166.12
46929,368,1,11354,5,57.32,314.54
46930,368,1,11354,5,45.32,248.69
52609,369,1,11354,3,57.42,237.58
52610,369,1,11354,1,19.83,87.50
52611,369,1,11354,5,29.62,162.54
52612,369,1,11354,1,59.25,261.44
52613,369,1,11354,4,73.26,460.62
52614,369,1,11354,2,241.73,1260.02
52615,369,1,11354,5,15.71,86.21
52616,369,1,11354,1,49.59,218.82
52617,369,1,11354,7,43.18,317.91
52618,369,1,11354,1,71.08,313.64
52619,369,1,11354,5,20.14,110.52
52620,369,1,11354,1,29.07,128.27
52621,369,1,11354,7,74.2,546.30
52622,369,1,11354,1,70.24,309.93
52623,369,1,11354,1,47.59,209.99
52624,369,1,11354,6,894.63,5871.01
52625,369,1,11354,6,254.7,1671.47
52626,369,1,11354,2,932.23,4859.25
52627,369,1,11354,1,29.28,129.20
58307,370,1,11354,7,45.55,335.36
58308,370,1,11354,2,932.74,4861.91
58309,370,1,11354,3,72.21,298.77
58310,370,1,11354,3,81.07,335.43
58311,370,1,11354,7,28.35,208.73
58312,370,1,11354,6,749.45,4918.27
58313,370,1,11354,3,24.73,102.32
58314,370,1,11354,1,25.33,111.77
58315,370,1,11354,5,58.22,319.48
58316,370,1,11354,4,16.29,102.42
58317,370,1,11354,2,833.51,4344.67
58318,370,1,11354,3,65.33,270.30
58319,370,1,11354,5,65.81,361.13
58320,370,1,11354,7,6.62,48.74
58321,370,1,11354,2,403.09,2101.11
58322,370,1,11354,1,50.92,224.68
58323,370,1,11354,3,73.59,304.48
58324,370,1,11354,1,20.57,90.77
58325,370,1,11354,6,584.36,3834.86
64035,371,1,11354,3,80.12,331.50
64036,371,1,11354,1,91.59,404.14
64037,371,1,11354,5,8.68,47.63
64038,371,1,11354,6,767.74,5038.29
64039,371,1,11354,4,89.03,559.78
64040,371,1,11354,5,17.52,96.14
64041,371,1,11354,4,97.55,613.35
64042,371,1,11354,2,56.22,293.05
64043,371,1,11354,3,82.11,339.73
64044,371,1,11354,7,78.97,581.42
64045,371,1,11354,2,208.86,1088.68
64046,371,1,11354,3,63.57,263.02
64047,371,1,11354,7,41.19,303.26
64048,371,1,11354,4,35.44,222.83
64049,371,1,11354,7,50.51,371.88
69697,372,1,11354,5,9.84,54.00
69698,372,1,11354,7,43.11,317.40
69699,372,1,11354,2,774.21,4035.57
69700,372,1,11354,4,29.13,183.15
69701,372,1,11354,7,98.71,726.75
69702,372,1,11354,6,165.36,1085.18
69703,372,1,11354,6,832.02,5460.13
69704,372,1,11354,2,485.79,2532.18
69705,372,1,11354,7,18.73,137.90
69706,372,1,11354,4,34.29,215.60
69707,372,1,11354,5,27.93,153.27
69708,372,1,11354,7,20.99,154.54
69709,372,1,11354,2,559.24,2915.04
69710,372,1,11354,2,619.94,3231.44
69711,372,1,11354,2,113.62,592.24
69712,372,1,11354,4,19.74,124.12
