id_posto,razao_posto,cnpj_posto,endereco_posto,bairro_posto,cep_posto,uf_posto,munic_posto,nota_posto
11445,"POSTO GASTOTAL LTDA",91610000148,"AVENIDA GEREMARIO DANTAS,  88",JACAREPAGUÁ,22735010,RJ,"RIO DE JANEIRO",6
11446,"G A P POSTO DE SERVICOS LTDA",570871000140,"RUA COMANDANTE RUBENS SILVA,  451","FREGUESIA (JACAREPAGUA)",22745281,RJ,"RIO DE JANEIRO",10
11448,"AUTO POSTO DE SERVICOS MARISOL LTDA",712637000100,"AVENIDA SERNAMBETIBA,  16500","RECREIO DOS BANDEIR",22795000,RJ,"RIO DE JANEIRO",8
11449,"POSTO DE ABASTECIMENTO E SERVICOS V. MARQUES LTDA.",1131154000185,"AVENIDA DOM HELDER CAMARA,  3124","DEL CASTILHO",20751971,RJ,"RIO DE JANEIRO",10
11450,"CENTRO AUTOMOTIVO LAGOA BARRA LTDA",1234088000179,"RUA MARIO RIBEIRO,  S/N",GÁVEA,23431000,RJ,"RIO DE JANEIRO",10
11451,"THUYA AUTO POSTO DE SERVICOS LTDA",1264785000172,"RUA ITALIA FAUSTA,  19",ITANHANGA,22641440,RJ,"RIO DE JANEIRO",10
11453,"COMBUSTIVEIS LOBINHO LTDA - ME",1351380000171,"RUA HADDOCK LOBO,  103",ESTACIO,20260001,RJ,"RIO DE JANEIRO",7
11454,"BARRA 3 POSTO DE GASOLINA LTDA",1369210000114,"AVENIDA DAS AMERICAS,  11505","BARRA DA TIJUCA",22793082,RJ,"RIO DE JANEIRO",6
11455,"POSTO DE SERVIÇOS ROMÂNTICO LTDA",1679582000147,"AVENIDA MARECHAL FONTENELLE,  3620","JARDIM SULACAP",22725000,RJ,"RIO DE JANEIRO",7
11456,"CENTRO AUTOMOTIVO ANCORA LTDA",1868383000187,"RUA CORONEL TEDIN,  40",JACAREPAGUA,22740011,RJ,"RIO DE JANEIRO",6
11457,"CENTRO AUTOMOTIVO ESQUILOS LTDA",1985828000109,"ESTRADA DE JACAREPAGUA,  4.735",JACAREPAGUA,22753044,RJ,"RIO DE JANEIRO",6
11458,"AUTO POSTO CREMONEZE LTDA",1988505000179,"ESTRADA DO MENDANHA,  4240","CAMPO GRANDE",23092002,RJ,"RIO DE JANEIRO",10
11459,"AUTO POSTO SENNA LTDA",2575190000109,"AVENIDA AYRTON SENNA,  S/N","BARRA DA TIJUCA",22775002,RJ,"RIO DE JANEIRO",8
11460,"POSTO DE GASOLINA COROA DO MAR LTDA",2618774000106,"ESTRADA ADHEMAR BEBIANO,  700","DEL CASTILHO",21051070,RJ,"RIO DE JANEIRO",8
11461,"POSTO DE ABASTECIMENTO SERVICOS E COMERCIO LINHA AMARELA LTDA",2752766000158,"AVENIDA AYRTON SENNA,  S/N","BARRA DA TIJUCA",22775002,RJ,"RIO DE JANEIRO",5
11463,"ABASTECIMENTO DE COMBUSTIVEIS RIO DO A LTDA",2850122000100,"ESTRADA RIO DO A,  1425","CAMPO GRANDE",23080300,RJ,"RIO DE JANEIRO",9
11464,"POSTO DE SERVICOS DENGOSO LTDA",3438999000143,"ESTRADA DO MONTEIRO,  50","CAMPO GRANDE",23045830,RJ,"RIO DE JANEIRO",8
11466,"AUTO POSTO TREVO DA BARRA LTDA",3573550000198,"AVENIDA EMBAIXADOR ABELARDO BUENO,  3629","BARRA DA TIJUCA",22775039,RJ,"RIO DE JANEIRO",5
11469,"POSTO DE ABASTECIMENTO UBA GERAIS LTDA.",5928713000133,"AVENIDA BRASIL,  34530",BANGU,21852001,RJ,"RIO DE JANEIRO",10
11470,"POSTO DE COMBUSTIVEL MEGA ENGENHO NOVO LTDA",7343420000110,"RUA SOUSA BARROS,  636","ENGENHO NOVO",20961150,RJ,"RIO DE JANEIRO",7
11471,"MRB - COMERCIO DE PRODUTOS AUTOMOTIVOS LTDA",7499559000157,"AVENIDA BRASIL,  5546",MANGUINHOS,21040361,RJ,"RIO DE JANEIRO",7
11472,"AUTO POSTO DE ABASTECIMENTO ESTRELA DO OCEANO LTDA - ME",8638802000133,"AVENIDA LUCIO COSTA,  6.410","BARRA DA TIJUCA",22620170,RJ,"RIO DE JANEIRO",10
11473,"AUTO POSTO GALEGO DO RIO DA PRATA LTDA",9042671000190,"ESTRADA DO CABUCU,  1765","CAMPO GRANDE",23017250,RJ,"RIO DE JANEIRO",9
11474,"POSTO DE GASOLINA PEQUENA CRUZADA LTDA",9646518000171,"AVENIDA EPITACIO PESSOA,  4916",LAGOA,22471003,RJ,"RIO DE JANEIRO",7
11475,"AUTO POSTO TREVO DAS AMERICAS LTDA",10216713000140,"AVENIDA DAS AMERICAS,  46673","PEDRA DE GUARATIBA",23032050,RJ,"RIO DE JANEIRO",10
11476,"POSTO DE GASOLINA CIDADE DE DEUS LTDA",11333439000152,"ESTRADA DO GABINAL,  1955","CIDADE DE DEUS",22763153,RJ,"RIO DE JANEIRO",9
11477,"POSTO DE ABASTECIMENTO GALLENA LAGOA LTDA.",11398725000104,"AVENIDA EPITACIO PESSOA,  1354",IPANEMA,22411072,RJ,"RIO DE JANEIRO",6
11479,"POSTO DE GASOLINA RENASCER LTDA",11534991000109,"RUA SAO LUIZ GONZAGA,  2331","SAO CRISTOVAO",20910063,RJ,"RIO DE JANEIRO",10
11480,"CENTRO AUTOMOTIVO CRUZADA DA BARRA LTDA.",12308662000102,"AVENIDA DAS AMERICAS,  3201","BARRA DA TIJUCA",22631002,RJ,"RIO DE JANEIRO",6
11481,"POSTO DE ABASTECIMENTO BARRA CAMPO GRANDE LTDA",14368087000169,"ESTRADA RIO DO A,  1076","CAMPO GRANDE",23080300,RJ,"RIO DE JANEIRO",8
11483,"POSTO DE COMBUSTIVEIS BRAZ DE PINA LTDA",18903882000160,"RUA GUAPORE,,  596","BRAZ DE PINA",21215100,RJ,"RIO DE JANEIRO",7
11484,"LC CUGULA POSTO DE COMBUSTIVEIS LTDA",20238539000190,"RUA LEOPOLDINA REGO,  604",PENHA,21021522,RJ,"RIO DE JANEIRO",9
11485,"AUTO POSTO DO TRABALHO VILA DA PENHA LTDA",24242250000104,"AVENIDA VICENTE DE CARVALHO,  1388","PENHA CIRCULAR",21210154,RJ,"RIO DE JANEIRO",10
11486,"AUTO POSTO DO TRABALHO TIJUCA LTDA",24242317000100,"RUA BARAO DE PIRASSINUNGA,  04",TIJUCA,20521170,RJ,"RIO DE JANEIRO",8
11488,"AUTO POSTO DO TRABALHO SAO CRISTOVAO LTDA",24244799000120,"AVENIDA BRASIL,  1957",BENFICA,20930041,RJ,"RIO DE JANEIRO",8
11489,"AUTO POSTO DO TRABALHO SANTISSIMO LTDA",24247497000105,"AVENIDA DE SANTA CRUZ,  10824",SANTISSIMO,23010185,RJ,"RIO DE JANEIRO",5
11490,"AUTO POSTO DO TRABALHO RIO COMPRIDO LTDA",24247515000159,"RUA ITAPIRU,  941",CATUMBI,20251033,RJ,"RIO DE JANEIRO",9
11491,"AUTO POSTO DO TRABALHO SANTA CRUZ LTDA",24248848000100,"AVENIDA BRASIL,  55496",PACIENCIA,23575202,RJ,"RIO DE JANEIRO",8
11492,"AUTO POSTO DO TRABALHO BELISARIO PENA LTDA",24248958000164,"RUA BELISARIO PENA,  618",PENHA,21020010,RJ,"RIO DE JANEIRO",10
11495,"POSTO DE GASOLINA NOTA 10 DO GRAJAU LTDA",26643967000185,"RUA BARAO DO BOM RETIRO,  1864",GRAJAU,20540342,RJ,"RIO DE JANEIRO",7
11496,"POSTO DE COMBUSTIVEIS SAO DIMAS LTDA",27735297000190,"RUA ALVARO RAMOS,  8",BOTAFOGO,22280110,RJ,"RIO DE JANEIRO",7
11497,"AUTO POSTO TORINO LTDA",28240927000118,"RUA ALVARO ALBERTO,  780","SANTA CRUZ",23550000,RJ,"RIO DE JANEIRO",8
11501,"AUTO POSTO MASP QUINTA LTDA",30076676000120,"RUA JOSE EUGENIO,  00011","SAO CRISTOVAO",20941140,RJ,"RIO DE JANEIRO",7
11502,"POSTO ACONCHEGO DO VELHO LTDA",30662357000104,"AVENIDA DE SANTA CRUZ,  6640","SENADOR CAMARA",21830264,RJ,"RIO DE JANEIRO",6
11503,"AUTO POSTO DE GASOLINA E SERVICOS L & Z LTDA",31190986000133,"ESTRADA DOS BANDEIRANTES,  23579","VARGEM GRANDE",22785091,RJ,"RIO DE JANEIRO",8
11504,"AUTO POSTO LAGOA CARIOCA LTDA",31251202000130,"AVENIDA EPITACIO PESSOA,  03666",LAGOA,22471004,RJ,"RIO DE JANEIRO",9
11505,"COMERCIO DE PETROLEO E DERIVADOS GETULIO LTDA",31266569000127,"AVENIDA GEREMARIO DANTAS,  00961",PECHINCHA,22743011,RJ,"RIO DE JANEIRO",7
11507,"POSTO DE GASOLINA JANA LTDA",32351470000196,"RUA ITABIRA,  521",CORDOVIL,21215310,RJ,"RIO DE JANEIRO",10
11508,"POSTO DE GASOLINA E LUBRIFICACAO ENGENHO DE DENTRO LTDA",33114208000190,"AVENIDA AMARO CAVALCANTE,  1701","ENGENHO DE DENTRO",20735040,RJ,"RIO DE JANEIRO",8
11509,"AUTO BENDIX WOLKS LTDA",33202581000101,"RUA FREI CANECA,  312",CENTRO,20211050,RJ,"RIO DE JANEIRO",10
11510,"POSTO DE GASOLINA N S DA PENHA LTDA",33267816000135,"AVENIDA BRAZ DE PINA,  253",PENHA,21011400,RJ,"RIO DE JANEIRO",9
11511,"POSTO DE GASOLINA SANTA LUZIA LTDA",33283177000100,"AVENIDA BRASIL,  6325",RAMOS,21040360,RJ,"RIO DE JANEIRO",10
11514,"POSTO DE GASOLINA CENTRAL DA ABOLICAO LTDA",33832783000129,"AVENIDA SUBURBANA,  7240",ABOLICAO,20751002,RJ,"RIO DE JANEIRO",8
11515,"PONEI POSTO DE GASOLINA LTDA",34035303000161,"AVENIDA BORGES DE MEDEIROS,  3151",LAGOA,22470001,RJ,"RIO DE JANEIRO",8
11516,"POSTO DE GASOLINA CORDEIRO LTDA",34066472000169,"AVENIDA GEREMARIO DANTAS,  1321",JACAREPAGUA,22760400,RJ,"RIO DE JANEIRO",7
11517,"POSTO DE GASOLINA E LUBRIFICACAO IPINORT LTDA",34294041000150,"AVENIDA LUZITANIA,  329",PENHA,21011400,RJ,"RIO DE JANEIRO",6
11518,"POSTO DE GASOLINA AMOR LTDA",34381616000171,"RUA FRANCISCO REAL,  560","PADRE MIGUEL",21715421,RJ,"RIO DE JANEIRO",5
11519,"AUTOPOSTO DE COMBUSTIVEIS MASP ITANHANGA LTDA.",37819353000128,"AVENIDA ENGENHEIRO SOUZA FILHO,  00400",ITANHANGA,22753053,RJ,"RIO DE JANEIRO",6
11523,"KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA",40296824000175," ETR  MARECHAL ALENCASTRO,  3660",ANCHIETA,21625000,RJ,"RIO DE JANEIRO",5
11524,"POSTO E GARAGEM RIO MONDEGO LTDA",42118018000132,"RUA GENERAL ESPIRITO SANTO CARDOSO,  57",TIJUCA,20530500,RJ,"RIO DE JANEIRO",5
11526,"AUTO POSTO MEU CEARA LTDA",42186593000172,"RUA DA REGENERACAO,  615",BONSUCESSO,21040170,RJ,"RIO DE JANEIRO",9
11527,"ITAIPU POSTO DE LAVAGEM E LUBRIFICAÇAO LTDA",42226621000138,"RUA JOSE DOS REIS,  1863","ENGENHO DE DENTRO",20000000,RJ,"RIO DE JANEIRO",8
11528,"AUTO ABASTECIMENTO LOVE STORY LTDA.",42247064000131," ETR  DA BARRA DA TIJUCA,  2770","BARRA DA TIJUCA",22641002,RJ,"RIO DE JANEIRO",5
11529,"AUTO POSTO CRISTIANE LTDA",42254086000129,"ESTRADA DOS BANDEIRANTES,  4680",JACAREPAGUA,22783117,RJ,"RIO DE JANEIRO",5
11530,"AUTO POSTO NIASO LTDA",42291799000162,"ESTRADA ENGENHO DA PEDRA,  755",OLARIA,21031030,RJ,"RIO DE JANEIRO",6
11533,"POSTO DE GASOLINA DAS AMERICAS LTDA",42547620000195,"AVENIDA DAS AMERICAS,  14951","RECREIO DOS BANDEIRANTES",22790701,RJ,"RIO DE JANEIRO",8
11534,"POSTO DE AUTO SERVICO CARMINDAO LTDA",42561944000188,"AVENIDA ITAOCA,  1651",BONSUCESSO,21061020,RJ,"RIO DE JANEIRO",8
11535,"AUTO POSTO TRES PONTOS LTDA",42609602000190,"ESTRADA DO CACHAMORRA,  1280","CAMPO GRANDE",23040150,RJ,"RIO DE JANEIRO",8
11537,"AUTO POSTO CRUZADA PENINSULA LTDA.",47308253000190,"AVENIDA LUIZ CARLOS PRESTES,  S/N","BARRA DA TIJUCA",23032070,RJ,"RIO DE JANEIRO",5
