id_posto,razao_posto,cnpj_posto,endereco_posto,bairro_posto,cep_posto,uf_posto,munic_posto,nota_posto
11979,"AUTO POSTO M5 EIRELI",16991306000197,"AVENIDA   MBOI GUACU,  20","JARDIM ARACATI",4949000,SP,"SAO PAULO",7
11980,"POSTO PRINCESA DO ALVARENGA LTDA - EPP",17055425000109,"ESTRADA DOALVARENGA,  2201","BALNEARIO MAR PAULISTA",4467000,SP,"SAO PAULO",3
11981,"POSTO DE SERVICOS ANHANGUERA EIRELI",17071876000121,"RUA INACIO LUIS DA COSTA,  534","PARQUE SAO DOMINGOS",5112010,SP,"SAO PAULO",4
11982,"AUTO POSTO NOVO GIOVANNA I LTDA",17118319000119,"AVENIDA ROLAND GARROS,  975","JARDIM BRASIL",2235000,SP,"SAO PAULO",9
11983,"CENTRO AUTOMOTIVO ACC RADIAL LTDA",17129994000143,"RUA MELO FREIRE,  1950",TATUAPE,3314030,SP,"SAO PAULO",10
11984,"AUTO POSTO JURUPIS EIRELI",17134686000106,"ALAMEDA DOS JURUPIS,  1299",INDIANOPOLIS,4088003,SP,"SAO PAULO",4
11985,"DEXON AUTO POSTO LTDA",17306058000160,"AVENIDA VEREADOR JOAO DE LUCA,  1777","JARDIM PRUDENCIA",4381001,SP,"SAO PAULO",6
11986,"CENTRO AUTOMOTIVO LAGO VITORIA LTDA",17321139000130,"RUA MARECHAL TITO,  1118","SAO MIGUEL PAULISTA",8010090,SP,"SAO PAULO",4
11987,"AUTO POSTO MAR VIDA LTDA",17423801000162,"AVENIDA   NORDESTINA,  1291","SÃO MIGUEL PAULISTA",8021010,SP,"SAO PAULO",8
11988,"CENTRO AUTOMOTIVO TANNAT LTDA",17617672000143,"AVENIDA ALCANTARA MACHADO,  3.500","QUARTA PARADA",3302000,SP,"SAO PAULO",8
11989,"AUTO POSTO RAGUEB PETRO LTDA",17897139000182,"AVENIDA RAGUEB CHOHFI,  3693","PARQUE BOA ESPERANCA",8341420,SP,"SAO PAULO",5
11990,"AUTO POSTO CHABIN LTDA",18304021000166,"RUA SANTA CRUZ,  965","VILA MARIANA",4121000,SP,"SAO PAULO",7
11991,"AUTO POSTO LEAO DO BELEM LTDA",18435075000160,"RUA CATUMBI,  371",BELEM,3021000,SP,"SAO PAULO",8
11992,"AUTO POSTO DACAR LTDA.",18522781000140,"RUA AGUIA DE HAIA,  583","ARTUR ALVIN",3694000,SP,"SAO PAULO",5
11993,"AUTO POSTO ADRIATICA LTDA",18558605000168,"AVENIDA ROQUE PETRONI JUNIOR,  549","VILA CORDEIRO",4707000,SP,"SAO PAULO",5
11994,"AUTO POSTO JORLI LTDA",18712333000109,"RUA GUAIAUNA,  497",GUAIAUNA,3631000,SP,"SAO PAULO",7
11995,"AUTO POSTO TREVO DA SORTE LTDA",18765781000170,"RUA IBITIRAMA,  704","VILA PRUDENTE",3133100,SP,"SAO PAULO",6
11996,"POSTO DE SERVICOS NOVA NORDESTINA LTDA",19092849000160,"RUA MOACIR DANTAS ITAPICURU,  53","CIDADE NOVA SÃO MIGUEL",8042290,SP,"SAO PAULO",3
11997,"POSTO DE SERVICOS NOVA DAMASIO LTDA",19092852000184,"RUA DAMASIO PINTO,  265",ITAQUERA,8247000,SP,"SAO PAULO",10
11998,"AUTO POSTO RENOVO LTDA",19227241000104,"AVENIDA KEMEL ADDAS,  780","CIDADE KEMEL",8130485,SP,"SAO PAULO",7
11999,"POSTO DE SERVIÇOS LINS LTDA",19315338000160,"AVENIDA CONSELHEIROCARRAO,  800","CHACARA CALIFORNIA",3402000,SP,"SAO PAULO",4
12000,"POSTO DE SERVIÇOS TROVÃO LTDA",19380156000173,"AVENIDA DOORATORIO,  2782","PARQUE SAO LUCAS",3220100,SP,"SAO PAULO",5
12001,"AUTO POSTO MARMELL LTDA",19396151000139,"AVENIDA REGUEB CHOHFI,  4000","JARDIM AUGUSTA",8341410,SP,"SAO PAULO",6
12002,"AUTO POSTO GENESIS J.A. LTDA",19643397000168,"AVENIDA DOS IMARES,  716",INDIANOPOLIS,4085001,SP,"SAO PAULO",9
12003,"AUTO POSTO BUFFALO COMBUSTIVEIS LTDA",20033242000199,"ESTRADA ITAQUERA-GUAIANAZES,  1130","VL 15 DE NOVEMBRO",8250010,SP,"SAO PAULO",5
12004,"CENTRO AUTOMOTIVO THOMAS EDISON LTDA",20190819000176,"AVENIDA THOMAS EDISON,  700","BARRA FUNDA",1140001,SP,"SAO PAULO",9
12005,"AUTO POSTO SENARIS BELLO LTDA.",20514988000114,"AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI,  365","CIDADE MONCOES",4571010,SP,"SAO PAULO",3
12006,"CENTRO AUTOMOTIVO JARDIM JACANA LTDA",20684089000160,"AVENIDA ANTONELO DA MESSINA,  516","SITIO DO PIQUERI",2318000,SP,"SAO PAULO",9
12007,"AUTO POSTO REI DO TATUAPE LTDA",20750878000151,"AVENIDA CELSO GARCIA,  5471",TATUAPE,3063000,SP,"SAO PAULO",7
12008,"CENTRO AUTOMOTIVO PARQUE DO CARMO LTDA",20881494000178,"RUA OSVALDO PUCCI,  40","JARDIM NOSSA SENHORA DO CARMO",8270700,SP,"SAO PAULO",8
12009,"CENTRO AUTOMOTIVO MOSCATEL LTDA",21042671000195,"AVENIDA SALIM FARAH MALUF,  1.999",TATUAPE,3076000,SP,"SAO PAULO",10
12010,"CENTRO AUTOMOTIVO NHAMBIQUARAS LTDA",21248520000198,"ALAMEDA DOS NHAMBIQUARAS,  1555",INDIANOPOLIS,4090013,SP,"SAO PAULO",6
