id_registro,id_comb,id_data,nome_comb,tipo_comb,custo_comb,revenda_comb
15397,4,1,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15398,6,1,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15399,5,1,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15400,1,1,"Original gasolina",Comum,3.28,4.1
15401,2,1,"Original Diesel ",Comum,3.88,4.85
15402,3,1,"Original Etanol ",Comum,3.08,3.85
15404,4,2,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15405,6,2,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15406,5,2,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15407,1,2,"Original gasolina",Comum,3.28,4.1
15408,2,2,"Original Diesel ",Comum,3.88,4.85
15409,3,2,"Original Etanol ",Comum,3.08,3.85
15411,4,3,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15412,6,3,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15413,5,3,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15414,1,3,"Original gasolina",Comum,3.28,4.1
15415,2,3,"Original Diesel ",Comum,3.88,4.85
15416,3,3,"Original Etanol ",Comum,3.08,3.85
15418,4,4,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15419,6,4,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15420,5,4,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15421,1,4,"Original gasolina",Comum,3.28,4.1
15422,2,4,"Original Diesel ",Comum,3.88,4.85
15423,3,4,"Original Etanol ",Comum,3.08,3.85
15425,4,5,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15426,6,5,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15427,5,5,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15428,1,5,"Original gasolina",Comum,3.28,4.1
15429,2,5,"Original Diesel ",Comum,3.88,4.85
15430,3,5,"Original Etanol ",Comum,3.08,3.85
15432,4,6,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15433,6,6,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15434,5,6,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15435,1,6,"Original gasolina",Comum,3.28,4.1
15436,2,6,"Original Diesel ",Comum,3.88,4.85
15437,3,6,"Original Etanol ",Comum,3.08,3.85
15439,4,7,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15440,6,7,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15441,5,7,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15442,1,7,"Original gasolina",Comum,3.28,4.1
15443,2,7,"Original Diesel ",Comum,3.88,4.85
15444,3,7,"Original Etanol ",Comum,3.08,3.85
15446,4,8,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15447,6,8,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15448,5,8,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15449,1,8,"Original gasolina",Comum,3.28,4.1
15450,2,8,"Original Diesel ",Comum,3.88,4.85
15451,3,8,"Original Etanol ",Comum,3.08,3.85
15453,4,9,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15454,6,9,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15455,5,9,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15456,1,9,"Original gasolina",Comum,3.28,4.1
15457,2,9,"Original Diesel ",Comum,3.88,4.85
15458,3,9,"Original Etanol ",Comum,3.08,3.85
15460,4,10,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15461,6,10,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15462,5,10,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15463,1,10,"Original gasolina",Comum,3.28,4.1
15464,2,10,"Original Diesel ",Comum,3.88,4.85
15465,3,10,"Original Etanol ",Comum,3.08,3.85
15467,4,11,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15468,6,11,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15469,5,11,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15470,1,11,"Original gasolina",Comum,3.28,4.1
15471,2,11,"Original Diesel ",Comum,3.88,4.85
15472,3,11,"Original Etanol ",Comum,3.08,3.85
15474,4,12,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15475,6,12,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15476,5,12,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15477,1,12,"Original gasolina",Comum,3.28,4.1
15478,2,12,"Original Diesel ",Comum,3.88,4.85
15479,3,12,"Original Etanol ",Comum,3.08,3.85
15481,4,13,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15482,6,13,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15483,5,13,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15484,1,13,"Original gasolina",Comum,3.28,4.1
15485,2,13,"Original Diesel ",Comum,3.88,4.85
15486,3,13,"Original Etanol ",Comum,3.08,3.85
15488,4,14,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15489,6,14,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15490,5,14,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15491,1,14,"Original gasolina",Comum,3.28,4.1
15492,2,14,"Original Diesel ",Comum,3.88,4.85
15493,3,14,"Original Etanol ",Comum,3.08,3.85
15495,4,15,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15496,6,15,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15497,5,15,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15498,1,15,"Original gasolina",Comum,3.28,4.1
15499,2,15,"Original Diesel ",Comum,3.88,4.85
15500,3,15,"Original Etanol ",Comum,3.08,3.85
15502,4,16,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15503,6,16,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15504,5,16,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15505,1,16,"Original gasolina",Comum,3.28,4.1
15506,2,16,"Original Diesel ",Comum,3.88,4.85
15507,3,16,"Original Etanol ",Comum,3.08,3.85
15509,4,17,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15510,6,17,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15511,5,17,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15512,1,17,"Original gasolina",Comum,3.28,4.1
15513,2,17,"Original Diesel ",Comum,3.88,4.85
15514,3,17,"Original Etanol ",Comum,3.08,3.85
15516,4,18,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15517,6,18,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15518,5,18,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15519,1,18,"Original gasolina",Comum,3.28,4.1
15520,2,18,"Original Diesel ",Comum,3.88,4.85
15521,3,18,"Original Etanol ",Comum,3.08,3.85
15523,4,19,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15524,6,19,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15525,5,19,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15526,1,19,"Original gasolina",Comum,3.28,4.1
15527,2,19,"Original Diesel ",Comum,3.88,4.85
15528,3,19,"Original Etanol ",Comum,3.08,3.85
15530,4,20,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15531,6,20,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15532,5,20,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15533,1,20,"Original gasolina",Comum,3.28,4.1
15534,2,20,"Original Diesel ",Comum,3.88,4.85
15535,3,20,"Original Etanol ",Comum,3.08,3.85
15537,4,21,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15538,6,21,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15539,5,21,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15540,1,21,"Original gasolina",Comum,3.28,4.1
15541,2,21,"Original Diesel ",Comum,3.88,4.85
15542,3,21,"Original Etanol ",Comum,3.08,3.85
15544,4,22,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15545,6,22,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15546,5,22,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15547,1,22,"Original gasolina",Comum,3.28,4.1
15548,2,22,"Original Diesel ",Comum,3.88,4.85
15549,3,22,"Original Etanol ",Comum,3.08,3.85
15551,4,23,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15552,6,23,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15553,5,23,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15554,1,23,"Original gasolina",Comum,3.28,4.1
15555,2,23,"Original Diesel ",Comum,3.88,4.85
15556,3,23,"Original Etanol ",Comum,3.08,3.85
15558,4,24,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15559,6,24,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15560,5,24,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15561,1,24,"Original gasolina",Comum,3.28,4.1
15562,2,24,"Original Diesel ",Comum,3.88,4.85
15563,3,24,"Original Etanol ",Comum,3.08,3.85
15565,4,25,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15566,6,25,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15567,5,25,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15568,1,25,"Original gasolina",Comum,3.28,4.1
15569,2,25,"Original Diesel ",Comum,3.88,4.85
15570,3,25,"Original Etanol ",Comum,3.08,3.85
15572,4,26,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
