id_venda,id_data,id_posto,id_func,id_comb,qtd_lts,valor_venda
35513,366,1,11354,2,714.37,3723.65
35526,366,1,11354,2,488.87,2548.23
35527,366,1,11354,6,758.4,4977.00
35528,366,1,11354,2,729.87,3804.45
35532,366,1,11354,2,690.64,3599.96
35538,366,2,4528,2,708.12,3691.08
35540,366,2,4528,2,510.15,2659.16
35541,366,2,4528,6,391.07,2566.40
35542,366,2,4528,2,773.94,4034.16
35544,366,2,4528,6,286.66,1881.21
35545,366,2,4528,2,996.97,5196.71
35547,366,2,4528,6,167.9,1101.84
35562,366,3,7948,2,464.45,2420.95
35563,366,3,7948,6,406.81,2669.69
35566,366,3,7948,2,268.18,1397.89
35573,366,4,11365,2,823.96,4294.89
35574,366,4,11365,2,134.09,698.94
35579,366,4,11365,2,598.99,3122.24
35587,366,4,11365,2,909.33,4739.88
35592,366,5,11372,6,575.89,3779.28
35595,366,5,11372,2,123.62,644.37
35597,366,5,11372,2,586.98,3059.63
35598,366,5,11372,6,971.54,6375.73
35600,366,5,11372,2,778.58,4058.35
35601,366,5,11372,6,431.07,2828.90
35607,366,5,11372,6,103.97,682.30
35608,366,5,11372,6,855.56,5614.61
35609,366,6,7960,2,239.42,1247.98
35613,366,6,7960,2,182.79,952.79
35617,366,6,7960,6,546.45,3586.08
35620,366,6,7960,6,155.21,1018.57
35622,366,6,7960,6,828.72,5438.48
35624,366,6,7960,6,839.65,5510.20
35628,366,7,7966,2,510.54,2661.19
35629,366,7,7966,6,564.04,3701.51
35632,366,7,7966,2,644.13,3357.53
35636,366,7,7966,2,922.14,4806.65
35639,366,7,7966,2,632.95,3299.25
35641,366,7,7966,6,410.35,2692.92
35642,366,7,7966,2,414.99,2163.14
35647,366,8,11387,2,245.36,1278.94
35656,366,8,11387,6,781.65,5129.58
35663,366,9,11390,2,249.74,1301.77
35666,366,9,11390,2,252.19,1314.54
35669,366,9,11390,2,188.1,980.47
35671,366,9,11390,2,590.66,3078.82
35674,366,9,11390,2,165.39,862.10
35675,366,9,11390,6,649.5,4262.34
35682,366,9,11390,2,823.85,4294.32
35683,366,10,11396,2,369.45,1925.76
35691,366,10,11396,6,809.74,5313.92
35692,366,10,11396,2,895.07,4665.55
35697,366,10,11396,6,446.61,2930.88
35699,366,11,11400,2,510.59,2661.45
35704,366,11,11400,2,570.55,2973.99
35712,366,11,11400,6,592.16,3886.05
35727,366,12,11407,2,808.84,4216.08
35729,366,12,11407,6,643.36,4222.05
35738,366,13,11412,6,251.67,1651.58
35747,366,13,11412,6,719.24,4720.01
35749,366,14,11418,6,590.13,3872.73
35750,366,14,11418,6,249.7,1638.66
35753,366,14,11418,6,645.87,4238.52
35758,366,14,11418,2,321.42,1675.40
35772,366,15,8005,2,237.4,1237.45
35775,366,15,8005,6,273.12,1792.35
35776,366,15,8005,2,490.62,2557.36
35784,366,16,11429,2,603.5,3145.74
35789,366,16,11429,2,957.97,4993.42
