id_data,data_completa,dia_data,mes_data,ano_data,nome_mes_data,trmst_data,semst_data
6551,2023-01-01,1,1,2023,Jan,1,1
6552,2023-01-02,2,1,2023,Jan,1,1
6553,2023-01-03,3,1,2023,Jan,1,1
6554,2023-01-04,4,1,2023,Jan,1,1
6555,2023-01-05,5,1,2023,Jan,1,1
6556,2023-01-06,6,1,2023,Jan,1,1
6557,2023-01-07,7,1,2023,Jan,1,1
6558,2023-01-08,8,1,2023,Jan,1,1
6559,2023-01-09,9,1,2023,Jan,1,1
6560,2023-01-10,10,1,2023,Jan,1,1
6561,2023-01-11,11,1,2023,Jan,1,1
6562,2023-01-12,12,1,2023,Jan,1,1
6563,2023-01-13,13,1,2023,Jan,1,1
6564,2023-01-14,14,1,2023,Jan,1,1
6565,2023-01-15,15,1,2023,Jan,1,1
6566,2023-01-16,16,1,2023,Jan,1,1
6567,2023-01-17,17,1,2023,Jan,1,1
6568,2023-01-18,18,1,2023,Jan,1,1
6569,2023-01-19,19,1,2023,Jan,1,1
6570,2023-01-20,20,1,2023,Jan,1,1
6571,2023-01-21,21,1,2023,Jan,1,1
6572,2023-01-22,22,1,2023,Jan,1,1
6573,2023-01-23,23,1,2023,Jan,1,1
6574,2023-01-24,24,1,2023,Jan,1,1
6575,2023-01-25,25,1,2023,Jan,1,1
6576,2023-01-26,26,1,2023,Jan,1,1
6577,2023-01-27,27,1,2023,Jan,1,1
6578,2023-01-28,28,1,2023,Jan,1,1
6579,2023-01-29,29,1,2023,Jan,1,1
6580,2023-01-30,30,1,2023,Jan,1,1
6581,2023-01-31,31,1,2023,Jan,1,1
6582,2023-02-01,1,2,2023,Fev,1,1
6583,2023-02-02,2,2,2023,Fev,1,1
6584,2023-02-03,3,2,2023,Fev,1,1
6585,2023-02-04,4,2,2023,Fev,1,1
6586,2023-02-05,5,2,2023,Fev,1,1
6587,2023-02-06,6,2,2023,Fev,1,1
6588,2023-02-07,7,2,2023,Fev,1,1
6589,2023-02-08,8,2,2023,Fev,1,1
6590,2023-02-09,9,2,2023,Fev,1,1
6591,2023-02-10,10,2,2023,Fev,1,1
6592,2023-02-11,11,2,2023,Fev,1,1
6593,2023-02-12,12,2,2023,Fev,1,1
6594,2023-02-13,13,2,2023,Fev,1,1
6595,2023-02-14,14,2,2023,Fev,1,1
6596,2023-02-15,15,2,2023,Fev,1,1
6597,2023-02-16,16,2,2023,Fev,1,1
6598,2023-02-17,17,2,2023,Fev,1,1
6599,2023-02-18,18,2,2023,Fev,1,1
