id_data,data_completa,dia_data,mes_data,ano_data,nome_mes_data,trmst_data,semst_data
5847,2021-01-27,27,1,2021,Jan,1,1
5878,2021-02-27,27,2,2021,Fev,1,1
5906,2021-03-27,27,3,2021,Mar,1,1
5937,2021-04-27,27,4,2021,Abr,2,1
5967,2021-05-27,27,5,2021,Mai,2,1
5998,2021-06-27,27,6,2021,Jun,2,1
6028,2021-07-27,27,7,2021,Jul,3,2
6059,2021-08-27,27,8,2021,Ago,3,2
6090,2021-09-27,27,9,2021,Set,3,2
6120,2021-10-27,27,10,2021,Out,4,2
6151,2021-11-27,27,11,2021,Nov,4,2
6181,2021-12-27,27,12,2021,Dez,4,2
6212,2022-01-27,27,1,2022,Jan,1,1
6243,2022-02-27,27,2,2022,Fev,1,1
6271,2022-03-27,27,3,2022,Mar,1,1
6302,2022-04-27,27,4,2022,Abr,2,1
6332,2022-05-27,27,5,2022,Mai,2,1
6363,2022-06-27,27,6,2022,Jun,2,1
6393,2022-07-27,27,7,2022,Jul,3,2
6424,2022-08-27,27,8,2022,Ago,3,2
6455,2022-09-27,27,9,2022,Set,3,2
6485,2022-10-27,27,10,2022,Out,4,2
6516,2022-11-27,27,11,2022,Nov,4,2
6546,2022-12-27,27,12,2022,Dez,4,2
6577,2023-01-27,27,1,2023,Jan,1,1
6608,2023-02-27,27,2,2023,Fev,1,1
6636,2023-03-27,27,3,2023,Mar,1,1
6667,2023-04-27,27,4,2023,Abr,2,1
6697,2023-05-27,27,5,2023,Mai,2,1
6728,2023-06-27,27,6,2023,Jun,2,1
6758,2023-07-27,27,7,2023,Jul,3,2
6789,2023-08-27,27,8,2023,Ago,3,2
6820,2023-09-27,27,9,2023,Set,3,2
6850,2023-10-27,27,10,2023,Out,4,2
6881,2023-11-27,27,11,2023,Nov,4,2
